,col,reef,gulf,mtorf,temp,type,geno
16S-PlA-E5,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlA-E6,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlA-E7,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlA-E8,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlB-E7,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlB-E8,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlC-E7,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlC-E8,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlD-E8,N/A,N/A,N/A,N/A,N/A,C,N/A
16S-PlA-H12,N/A,N/A,N/A,N/A,N/A,NEG_A,N/A
16S-PlB-H12,N/A,N/A,N/A,N/A,N/A,NEG_B,N/A
16S-PlC-H12,N/A,N/A,N/A,N/A,N/A,NEG_C,N/A
16S-PlD-H12,N/A,N/A,N/A,N/A,N/A,NEG_D,N/A
16S-PlA-H10,N/A,N/A,N/A,N/A,N/A,POS_A,N/A
16S-PlB-H10,N/A,N/A,N/A,N/A,N/A,POS_B,N/A
16S-PlC-H10,N/A,N/A,N/A,N/A,N/A,POS_C,N/A
16S-PlD-H10,N/A,N/A,N/A,N/A,N/A,POS_D,N/A
16S-PlA-A1,711,SAB_A,Panama,3,28.5,S,9
16S-PlA-A10,722,MOG_A,Panama,3,33,S,9
16S-PlA-A11,725,MOG_A,Panama,1,28.5,S,40
16S-PlA-A12,725,MOG_A,Panama,1,36,S,40
16S-PlA-A2,712,SAB_A,Panama,3,28.5,S,9
16S-PlA-A3,712,SAB_A,Panama,3,36,S,9
16S-PlA-A4,714,SAB_A,Panama,3,28.5,S,9
16S-PlA-A5,715,SAB_A,Panama,3,30,S,9
16S-PlA-A6,716,SAB_A,Panama,3,36,S,9
16S-PlA-A7,716,SAB_A,Panama,3,30,S,9
16S-PlA-A8,718,SAB_A,Panama,3,33,S,9
16S-PlA-A9,721,SAB_A,Panama,3,30,S,9
16S-PlA-C1,726,MOG_A,Panama,3,33,S,9
16S-PlA-C10,756,UVA_A,Chiriqui,1,33,S,51
16S-PlA-C11,757,UVA_A,Chiriqui,3,33,S,9
16S-PlA-C12,758,UVA_A,Chiriqui,3,30,S,9
