sample_name,sample_uid,col,reef,gulf,mtorf,temp,type,geno
ITS2-PlA-A1,156748,711,SAB_A,Panama,3,28.5,S,9
ITS2-PlA-A10,156749,722,MOG_A,Panama,3,33,S,9
ITS2-PlA-A11,156750,725,MOG_A,Panama,1,28.5,S,40
ITS2-PlA-A12,156751,725,MOG_A,Panama,1,36,S,40
ITS2-PlA-A2,156752,712,SAB_A,Panama,3,28.5,S,9
ITS2-PlA-A3,156753,712,SAB_A,Panama,3,36,S,9
ITS2-PlA-A4,156754,714,SAB_A,Panama,3,28.5,S,9
ITS2-PlA-A5,156755,715,SAB_A,Panama,3,30,S,9
ITS2-PlA-A6,156756,716,SAB_A,Panama,3,36,S,9
ITS2-PlA-A7,156757,716,SAB_A,Panama,3,30,S,9
ITS2-PlA-A8,156758,718,SAB_A,Panama,3,33,S,9
ITS2-PlA-A9,156759,721,SAB_A,Panama,3,30,S,9
ITS2-PlA-C1,156760,726,MOG_A,Panama,3,33,S,9
ITS2-PlA-C10,156761,756,UVA_A,Chiriqui,1,33,S,51
ITS2-PlA-C11,156762,757,UVA_A,Chiriqui,3,33,S,9
ITS2-PlA-C12,156763,758,UVA_A,Chiriqui,3,30,S,9
ITS2-PlA-C2,156764,726,MOG_A,Panama,3,28.5,S,9
ITS2-PlA-C3,156765,727,MOG_A,Panama,3,28.5,S,9
ITS2-PlA-C4,156766,728,MOG_A,Panama,3,28.5,S,8
ITS2-PlA-C5,156767,728,MOG_A,Panama,3,36,S,8
ITS2-PlA-C6,156768,732,MOG_A,Panama,3,30,S,9
ITS2-PlA-C7,156769,734,AFU_A,Chiriqui,1,33,S,117
ITS2-PlA-C8,156770,738,AFU_A,Chiriqui,3,30,S,9
ITS2-PlA-C9,156771,740,AFU_A,Chiriqui,3,30,S,9
ITS2-PlA-E1,156772,760,UVA_A,Chiriqui,1,30,S,31
ITS2-PlA-E10,156773,732,MOG_A,Panama,3,28.5,S,9
ITS2-PlA-E11,156774,756,UVA_A,Chiriqui,1,36,S,51
ITS2-PlA-E2,156775,762,UVA_A,Chiriqui,1,30,S,32
ITS2-PlA-E3,156776,762,UVA_A,Chiriqui,1,28.5,S,32
