sample_uid	C1d/C1-C1mt-C42.2-C3cg-C1b-C3cw	C1d/C42.2/C1/C3cg-C1b-C3cw-C45c-C115k	C1d-C42.2-C1-C1k-C1b-C3cg	C1d-C1mt-C1nq-C42.2-C1	C1d-C1mt-C42a-C42.2-C1	C1d-C42.2-C1-C1bi	C1d-C42.2-C1-C1b-C3cg-C3cw	C1d-C42.2-C1-C1b-C3cg-C3cw-C45c	C1d-C1mt-C42.2-C1-C3cg-C1b	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C42a/C42.2/C1/C1b-C1j-C1au-C3	C1d-C1mt-C42.2-C1-C3cg	C42a/C42.2-C1-C42ak-C1b-C42al	C1d-C42.2-C1-C1nr	C42a/C42.2-C1-C1b-C42ak-C1j	D1-D1as-D1ba-D1bb-D4-D1at-D6-D1ax-D1dy-D1ea	D1-D1at-D1as-D1ba-D2a-D4-D6	D1-D1as-D1at-D6-D4-D1bb-D1ba-D1bd	D1/D1bb-D1as-D1at-D4-D1ba-D6-D1bg-D1ax	D1-D1as-D1at-D4-D6-D1ba-D1ax-D1bb	D1/D1bb-D1as-D1bg-D1at-D1ba-D6-D4	D1-D1at-D1as-D1bc-D1bg-D6-D1bb-D4
156770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4040	0	0	0	0	0	0
156803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6853	0	0	0	0	0	0
156841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4645	0	0	0	0	0	0
156802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5061	0	0	0	0	0	0
156798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4188	0	0	0	0	0	0
156834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4428	0	0	0	0	0	0
156882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4398	0	0	0	0	0	0
156769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3484	0	0	0	0	0	0
156859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6190	0	0	0	0	0	0
156870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5157	0	0	0	0	0	0
156810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3129	0	0	0	0	0	0
156750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5151	0	0	0	0	0	0
156843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4047	0	0	0	0	0	0
156875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2806	0	0	0	0	0	0
156806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1721	0	0	0	0	0	0
