Sample_ID,Temp,Site,Cowtag,LPO,Colony,MLG,mtORF,Region
2289,28.5,Uvas,O02235,113.6177632,763,9,1,Chiriqui
2273,28.5,Uvas,B01814,197.468296,761,9,1,Chiriqui
2281,28.5,Uvas,R01455,113.68294,762,32,1,Chiriqui
2233,28.5,Uvas,Y00241,87.50083979,756,9,1,Chiriqui
2249,28.5,Uvas,B01811,203.2505224,758,9,3,Chiriqui
2241,28.5,Uvas,G00589,125.1465352,757,9,3,Chiriqui
2265,28.5,Uvas,W00945,78.14113844,760,9,1,Chiriqui
3749,28.5,Afuera,Y00183,150.3204699,736,9,1,Chiriqui
3765,28.5,Afuera,W01087,130.5029662,738,9,3,Chiriqui
3757,28.5,Afuera,G00623,132.8089637,737,9,1,Chiriqui
3789,28.5,Afuera,R01343,84.32463724,741,9,3,Chiriqui
3805,28.5,Afuera,G00538,86.16403989,743,9,1,Chiriqui
3773,28.5,Afuera,B02004,70.24988946,739,9,1,Chiriqui
3781,28.5,Afuera,O02414,115.1277865,740,9,3,Chiriqui
3302,28.5,MogoMogo,R01312,230.4035805,726,9,3,Panama
3310,28.5,MogoMogo,W00949,140.2138359,727,9,3,Panama
3318,28.5,MogoMogo,O02223,173.0266444,728,9,1,Panama
3342,28.5,MogoMogo,Y00154,216.5248067,731,9,3,Panama
3350,28.5,MogoMogo,B01708,259.9283403,732,9,3,Panama
3278,28.5,MogoMogo,O02216,448.472158,732,9,3,Panama
3294,28.5,MogoMogo,G00721,170.0276114,725,40,1,Panama
3270,28.5,MogoMogo,B01716,251.7794759,722,9,3,Panama
3286,28.5,MogoMogo,Y00163,140.8916138,724,72,1,Panama
3115,28.5,Saboga,Y00170,153.7728839,718,9,3,Panama
3131,28.5,Saboga,O02479,74.96333367,720,120,1,Panama
3067,28.5,Saboga,G00510,471.875,712,9,3,Panama
3083,28.5,Saboga,Y00115,196.0411998,714,9,3,Panama
3091,28.5,Saboga,O02489,270.0419645,715,9,3,Panama
3099,28.5,Saboga,W00953,150.1831502,716,9,3,Panama
3059,28.5,Saboga,R01699,82.43025134,711,9,3,Panama
3139,28.5,Saboga,G00522,281.2800237,721,9,3,Panama
2290,30,Uvas,O02238,103.8906279,763,9,1,Chiriqui
2282,30,Uvas,R01469,172.9806708,762,32,1,Chiriqui
2274,30,Uvas,B01817,207.04885,761,9,1,Chiriqui
2298,30,Uvas,G00521,141.0585003,764,9,1,Chiriqui
2242,30,Uvas,G00552,122.2319255,757,9,3,Chiriqui
2234,30,Uvas,Y00228,123.9810072,756,9,1,Chiriqui
2266,30,Uvas,W00933,119.5205908,760,9,1,Chiriqui
2250,30,Uvas,B01816,319.0989829,758,9,3,Chiriqui
3766,30,Afuera,W01071,135.9098297,738,9,3,Chiriqui
3758,30,Afuera,G00617,177.415158,737,9,1,Chiriqui
3734,30,Afuera,O02204,147.3076938,734,9,1,Chiriqui
3750,30,Afuera,Y00187,226.0918665,736,9,1,Chiriqui
3774,30,Afuera,B02025,141.3167873,739,9,1,Chiriqui
3782,30,Afuera,O02440,145.8774142,740,9,3,Chiriqui
3790,30,Afuera,R01338,132.3202203,741,9,3,Chiriqui
3806,30,Afuera,G00530,160.4501881,743,9,1,Chiriqui
3303,30,MogoMogo,R01315,181.8987254,726,9,3,Panama
3311,30,MogoMogo,W00942,148.8726371,727,9,3,Panama
3351,30,MogoMogo,B01711,168.9432492,732,9,3,Panama
3319,30,MogoMogo,O02225,129.468127,728,9,1,Panama
3343,30,MogoMogo,Y00165,198.2077056,731,9,3,Panama
3279,30,MogoMogo,O02219,145.7933525,732,9,3,Panama
3271,30,MogoMogo,B01704,225.8180157,722,9,3,Panama
3295,30,MogoMogo,G00703,82.77430078,725,40,1,Panama
3287,30,MogoMogo,Y00156,91.36884771,724,72,1,Panama
3100,30,Saboga,W00973,133.2986365,716,9,3,Panama
3116,30,Saboga,Y00160,194.5200378,718,9,3,Panama
3060,30,Saboga,R01676,110.909531,711,9,3,Panama
3092,30,Saboga,O02500,168.9329707,715,9,3,Panama
3084,30,Saboga,Y00105,166.4879578,714,9,3,Panama
3132,30,Saboga,O02499,440.6975748,720,120,1,Panama
3068,30,Saboga,G00514,161.5329046,712,9,3,Panama
3140,30,Saboga,G00502,306.3094818,721,9,3,Panama
2236,33,Uvas,Y00234,167.1885129,756,9,1,Chiriqui
2268,33,Uvas,W00938,200.6550994,760,9,1,Chiriqui
2252,33,Uvas,B01804,144.341925,758,9,3,Chiriqui
2244,33,Uvas,G00507,141.390977,757,9,3,Chiriqui
2292,33,Uvas,O02234,116.9380459,763,9,1,Chiriqui
2284,33,Uvas,R01475,128.7082034,762,32,1,Chiriqui
2276,33,Uvas,B01824,174.968294,761,9,1,Chiriqui
3880,33,Uvas,G00516,252.8174986,764,9,1,Chiriqui
3760,33,Afuera,G00625,91.77611096,737,9,1,Chiriqui
3752,33,Afuera,Y00189,213.241496,736,9,1,Chiriqui
3768,33,Afuera,W01059,106.7358938,738,9,3,Chiriqui
3736,33,Afuera,O02221,129.6506273,734,9,1,Chiriqui
3784,33,Afuera,O02434,96.88718827,740,9,3,Chiriqui
3776,33,Afuera,B02023,83.38508754,739,9,1,Chiriqui
3808,33,Afuera,G00529,156.3462197,743,9,1,Chiriqui
3792,33,Afuera,R01337,125.3377057,741,9,3,Chiriqui
3321,33,MogoMogo,O02221,128.3266154,734,9,1,Panama
3313,33,MogoMogo,W00526,115.6067952,727,9,3,Panama
3305,33,MogoMogo,R01322,169.8579714,767,9,3,Panama
3353,33,MogoMogo,B01724,166.808023,732,9,3,Panama
3297,33,MogoMogo,G00701,131.502275,725,40,1,Panama
3289,33,MogoMogo,Y00174,160.301334,724,72,1,Panama
3102,33,Saboga,W00968,143.1243869,716,9,3,Panama
3118,33,Saboga,Y00168,117.3003061,718,9,3,Panama
3070,33,Saboga,G00517,165.8470685,712,9,3,Panama
3094,33,Saboga,O02477,188.8939355,715,9,3,Panama
3086,33,Saboga,Y00123,219.0247794,714,9,3,Panama
3062,33,Saboga,R01693,149.1979508,711,9,3,Panama
3134,33,Saboga,O02491,154.3069457,720,120,1,Panama
3142,33,Saboga,G00503,287.0997296,721,9,3,Panama
3283,36,MogoMogo,NA,NA,NA,NA,NA,Panama
2270,36,Uvas,W00939,NA,NA,NA,NA,Chiriqui
2246,36,Uvas,G00585,NA,NA,NA,NA,Chiriqui
2278,36,Uvas,B01808,NA,NA,NA,NA,Chiriqui
2286,36,Uvas,R01459,NA,NA,NA,NA,Chiriqui
3882,36,Uvas,G00515,NA,NA,NA,NA,Chiriqui
2294,36,Uvas,O02240,NA,NA,NA,NA,Chiriqui
2254,36,Uvas,B01825,NA,NA,NA,NA,Chiriqui
2238,36,Uvas,Y00242,NA,NA,NA,NA,Chiriqui
3754,36,Afuera,Y00170,NA,NA,NA,NA,Chiriqui
3762,36,Afuera,G00601,NA,NA,NA,NA,Chiriqui
3770,36,Afuera,W01054,NA,NA,NA,NA,Chiriqui
3738,36,Afuera,O02433,NA,NA,NA,NA,Chiriqui
3786,36,Afuera,O02439,NA,NA,NA,NA,Chiriqui
3810,36,Afuera,G00531,NA,NA,NA,NA,Chiriqui
3778,36,Afuera,B02007,NA,NA,NA,NA,Chiriqui
3794,36,Afuera,R01340,NA,NA,NA,NA,Chiriqui
3323,36,MogoMogo,O02202,NA,NA,NA,NA,Panama
3347,36,MogoMogo,Y00167,NA,NA,NA,NA,Panama
3315,36,MogoMogo,W00532,NA,NA,NA,NA,Panama
3355,36,MogoMogo,B01719,NA,NA,NA,NA,Panama
3291,36,MogoMogo,Y00164,NA,NA,NA,NA,Panama
3299,36,MogoMogo,G00723,NA,NA,NA,NA,Panama
3275,36,MogoMogo,B01722,NA,NA,NA,NA,Panama
3104,36,Saboga,W00974,NA,NA,NA,NA,Panama
3120,36,Saboga,Y00113,NA,NA,NA,NA,Panama
3064,36,Saboga,R01694,NA,NA,NA,NA,Panama
3088,36,Saboga,Y00108,NA,NA,NA,NA,Panama
3136,36,Saboga,O02478,NA,NA,NA,NA,Panama
3072,36,Saboga,G00506,NA,NA,NA,NA,Panama
3144,36,Saboga,G00512,NA,NA,NA,NA,Panama
