Sample_ID,Temp,Site,Cowtag,TAC ,Colony,MLG,mtORF,Region
2233,28.5,Uvas,Y00241,4251.647144,756,9,1,Chiriqui
2234,30,Uvas,Y00228,4135.296502,756,9,1,Chiriqui
2236,33,Uvas,Y00234,8497.875566,756,9,1,Chiriqui
2238,36,Uvas ,Y00242,0,756,9,1,Chiriqui
2241,28.5,Uvas,G00589,6101.016354,757,9,3,Chiriqui
2242,30,Uvas,G00552,3332.345546,757,9,3,Chiriqui
2244,33,Uvas,G00507,6285.767734,757,9,3,Chiriqui
2246,36,Uvas,G00585,0,757,9,3,Chiriqui
2249,28.5,Uvas,B01811,5163.945586,758,9,3,Chiriqui
2250,30,Uvas,B01816,4057.645582,758,9,3,Chiriqui
2252,33,Uvas,B01804,6979.334618,758,9,3,Chiriqui
2254,36,Uvas ,B01825,0,758,9,3,Chiriqui
2265,28.5,Uvas,W00945,5670.96776,760,9,1,Chiriqui
2266,30,Uvas,W00933,3346.343086,760,9,1,Chiriqui
2268,33,Uvas,W00938,3256.589993,760,9,1,Chiriqui
2273,28.5,Uvas,B01814,4055.835997,761,9,1,Chiriqui
2274,30,Uvas,B01817,3752.064068,761,9,1,Chiriqui
2276,33,Uvas,B01824,4503.538415,761,9,1,Chiriqui
2278,36,Uvas,B01808,0,761,9,1,Chiriqui
2281,28.5,Uvas,R01455,6074.918495,762,32,1,Chiriqui
2284,33,Uvas,R01475,4477.814061,762,32,1,Chiriqui
2286,36,Uvas,R01459,0,762,32,1,Chiriqui
2289,28.5,Uvas,O02235,3020.881386,763,9,1,Chiriqui
2290,30,Uvas,O02238,4234.998979,763,9,1,Chiriqui
2292,33,Uvas,O02234,4592.556394,763,9,1,Chiriqui
2294,36,Uvas,O02240,1647.453436,763,9,1,Chiriqui
2297,28.5,Uvas,G00553,2301.931855,764,9,1,Chiriqui
2298,30,Uvas,G00521,3841.477463,764,9,1,Chiriqui
3059,28.5,Saboga,R01699,3887.334218,711,9,3,Panama
3060,30,Saboga,R01676,8552.602514,711,9,3,Panama
3062,33,Saboga,R01693,6342.702945,711,9,3,Panama
3064,36,Saboga,R01694,0,711,9,3,Panama
3067,28.5,Saboga,G00510,2624.849333,712,9,3,Panama
3068,30,Saboga,G00514,5491.613709,712,9,3,Panama
3070,33,Saboga,G00517,5461.21329,712,9,3,Panama
3072,36,Saboga,G00506,0,712,9,3,Panama
3083,28.5,Saboga,Y00115,4512.371611,714,9,3,Panama
3084,30,Saboga,Y00105,4835.310005,714,9,3,Panama
3086,33,Saboga,Y00123,4144.879646,714,9,3,Panama
3088,36,Saboga,Y00108,0,714,9,3,Panama
3091,28.5,Saboga,O02489,5727.351965,715,9,3,Panama
3092,30,Saboga,O02500,3034.510499,715,9,3,Panama
3094,33,Saboga,O02477,4151.399867,715,9,3,Panama
3099,28.5,Saboga,W00953,3927.267119,716,9,3,Panama
3100,30,Saboga,W00973,8799.518098,716,9,3,Panama
3102,33,Saboga,W00968,5669.890914,716,9,3,Panama
3104,36,Saboga,W00974,0,716,9,3,Panama
3115,28.5,Saboga,Y00170,4718.151914,718,9,3,Panama
3116,30,Saboga,Y00160,3026.692351,718,9,3,Panama
3118,33,Saboga,Y00168,11791.35264,718,9,3,Panama
3120,36,Saboga,Y00113,593.6824641,718,9,3,Panama
3131,28.5,Saboga,O02479,4318.054626,720,120,1,Panama
3132,30,Saboga,O02499,6914.196642,720,120,1,Panama
3134,33,Saboga,O02491,6852.402403,720,120,1,Panama
3136,36,Saboga,O02478,893.1819759,720,120,1,Panama
3139,28.5,Saboga,G00522,3868.319181,721,9,3,Panama
3140,30,Saboga,G00502,3360.488148,721,9,3,Panama
3142,33,Saboga,G00503,4599.271459,721,9,3,Panama
3144,36,Saboga,G00512,0,721,9,3,Panama
3270,28.5,MogoMogo,B01716,7039.267271,722,9,3,Panama
3271,30,MogoMogo,B01704,6689.769209,722,9,3,Panama
