Region,Site,Samples,Colony,Treatment,Chl,Prot,MLG,mtORF
Las Perlas,Saboga,01699 red,711,28.5,67.20467033,0.755208333,9,3
Las Perlas,Saboga,01676 red,711,30,198.4241219,2.415644172,9,3
Las Perlas,Saboga,01692 red,711,31.5,54.16563147,0.76489533,9,3
Las Perlas,Saboga,01693 red,711,33,22.67911915,0.816326531,9,3
Las Perlas,Saboga,01700 red,711,34.5,100.4377491,0.473901099,9,3
Las Perlas,Saboga,01694 red,711,36,0,0,9,3
Las Perlas,Saboga,01687 red,711,37.5,0,0,9,3
Las Perlas,Saboga,01685 red,711,39,2.246050824,0.008680556,9,3
Las Perlas,Saboga,00510 green,712,28.5,80.83588725,0.775440977,9,3
Las Perlas,Saboga,00514 green,712,30,52.08385282,0.168865435,9,3
Las Perlas,Saboga,00518 green,712,31.5,174.6410032,0.797546012,9,3
Las Perlas,Saboga,00517 green,712,33,53.4712003,0.040257649,9,3
Las Perlas,Saboga,00508 green,712,34.5,21.31613254,0.583016477,9,3
Las Perlas,Saboga,00506 green,712,36,19.1022712,0,9,3
Las Perlas,Saboga,00519 green,712,37.5,0,0,9,3
Las Perlas,Saboga,00525 green,712,39,0,0,9,3
Las Perlas,Saboga,NA,713,NA,NA,NA,9,NA
Las Perlas,Saboga,01872 blue,713,30,120.0110516,0.680604982,9,NA
Las Perlas,Saboga,01865 blue,713,31.5,112.3025412,2.170138889,9,NA
Las Perlas,Saboga,01875 blue,713,33,36.13757751,NA,9,NA
Las Perlas,Saboga,01869 blue,713,34.5,21.30173339,0.839736553,9,NA
Las Perlas,Saboga,01870 red,713,36,0,0,9,NA
Las Perlas,Saboga,01867 red,713,37.5,0,0,9,NA
Las Perlas,Saboga,01856 red,713,39,4.03E-15,0.087483176,9,NA
Las Perlas,Saboga,00115 yellow,714,28.5,107.1397168,1.788373279,9,3
Las Perlas,Saboga,00105 yellow,714,30,70.12593941,0.47112462,9,3
Las Perlas,Saboga,00120 yellow,714,31.5,87.33967525,2.544776119,9,3
Las Perlas,Saboga,00123 yellow,714,33,19.88161783,0.107025247,9,3
Las Perlas,Saboga,00119 yellow,714,34.5,52.77676912,0.877616747,9,3
Las Perlas,Saboga,00108 yellow,714,36,0,0,9,3
Las Perlas,Saboga,00106 yellow,714,37.5,0,0,9,3
Las Perlas,Saboga,00124 yellow,714,39,0,0,9,3
Las Perlas,Saboga,02489 orange,715,28.5,104.6251311,0.139204545,9,3
Las Perlas,Saboga,02500 orange,715,30,110.2924065,0.928057554,9,3
Las Perlas,Saboga,02480 orange,715,31.5,108.6461794,1.925064599,9,3
Las Perlas,Saboga,02477 orange,715,33,117.5592559,1.329787234,9,3
Las Perlas,Saboga,02495 orange,715,34.5,13.7061334,0.186046512,9,3
Las Perlas,Saboga,02484 orange,715,36,1.392899736,0.187338501,9,3
Las Perlas,Saboga,02488 orange,715,37.5,0,0,9,3
Las Perlas,Saboga,02481 orange,715,39,7.442980137,0,9,3
Las Perlas,Saboga,NA,716,NA,NA,NA,9,3
Las Perlas,Saboga,00973 white,716,30,110.171428,0.227932961,9,3
Las Perlas,Saboga,00952 white,716,31.5,78.13085973,0.541176471,9,3
Las Perlas,Saboga,00968 white,716,33,24.38752629,0.20278834,9,3
Las Perlas,Saboga,00961 white,716,34.5,123.0969944,1.184079602,9,3
Las Perlas,Saboga,00974 white,716,36,0,0,9,3
Las Perlas,Saboga,00957 white,716,37.5,0,0,9,3
Las Perlas,Saboga,00970 white,716,39,0,0,9,3
Las Perlas,Saboga,01606 red,717,28.5,30.17052605,0.020278834,9,3
Las Perlas,Saboga,01611 red,717,30,70.13416032,0.245398773,9,3
Las Perlas,Saboga,NA,717,NA,NA,NA,9,3
Las Perlas,Saboga,01621 red,717,33,43.00247072,0.075258702,9,3
Las Perlas,Saboga,01618 red,717,34.5,11.54722005,0.310839532,9,3
Las Perlas,Saboga,01615 red,717,36,3.061861493,0,9,3
Las Perlas,Saboga,01620 red,717,37.5,7.960839881,0.027051398,9,3
Las Perlas,Saboga,01601 red,717,39,0,0,9,3
Las Perlas,Saboga,00170 yellow,718,28.5,40.73198016,0.277361319,9,3
Las Perlas,Saboga,00160 yellow,718,30,100.7515661,0.626815642,9,3
Las Perlas,Saboga,00158 yellow,718,31.5,107.252362,1.012941176,9,3
Las Perlas,Saboga,NA,718,NA,NA,NA,9,3
Las Perlas,Saboga,00157 yellow,718,34.5,42.05204518,0.112847222,9,3
Las Perlas,Saboga,00113 yellow,718,36,5.379762453,0,9,3
Las Perlas,Saboga,00159 yellow,718,37.5,0,0,9,3
Las Perlas,Saboga,00173 yellow,718,39,0,0,9,3
Las Perlas,Saboga,01854 blue,719,28.5,77.19227473,1.41,79,3
Las Perlas,Saboga,01864 blue,719,30,37.91136336,0.347985348,79,3
Las Perlas,Saboga,01860 blue,719,31.5,134.076983,0.211363636,79,3
Las Perlas,Saboga,01852 blue,719,33,21.32514189,0.459183673,79,3
Las Perlas,Saboga,01874 blue,719,34.5,10.74942799,1.071847507,79,3
Las Perlas,Saboga,NA,719,NA,NA,NA,79,3
Las Perlas,Saboga,01868 blue,719,37.5,0,0,79,3
Las Perlas,Saboga,01858 blue,719,39,1.377177955,0.136882129,79,3
Las Perlas,Saboga,02479 orange,720,28.5,157.3169934,0.208,120,1
Las Perlas,Saboga,02499 orange,720,30,36.83397346,1.129032258,120,1
Las Perlas,Saboga,02493 orange,720,31.5,78.90185921,2.238622386,120,1
Las Perlas,Saboga,02491 orange,720,33,5.912743972,0.680970149,120,1
Las Perlas,Saboga,02496 orange,720,34.5,0,0,120,1
Las Perlas,Saboga,02478 orange,720,36,0,0,120,1
Las Perlas,Saboga,02498 orange,720,37.5,0,0,120,1
Las Perlas,Saboga,02494 orange,720,39,0,0,120,1
Las Perlas,Saboga,00522 green,721,28.5,78.57990537,0.841514727,9,3
Las Perlas,Saboga,00502 green,721,30,66.47208083,1.549079755,9,3
Las Perlas,Saboga,00511 green,721,31.5,60.70354227,0.944134078,9,3
Las Perlas,Saboga,00503 green,721,33,37.10943162,0.734858681,9,3
Las Perlas,Saboga,00504 green,721,34.5,4.868204232,0.317497648,9,3
Las Perlas,Saboga,NA,721,NA,NA,NA,9,3
Las Perlas,Saboga,00524 green,721,37.5,35.20281015,0,9,3
Las Perlas,Saboga,00505 green,721,39,0,0,9,3
Las Perlas,Mogo mogo,01716 blue,722,28.5,96.92782453,0.733512786,9,3
Las Perlas,Mogo mogo,01704 blue,722,30,58.83508246,0.232383808,9,3
Las Perlas,Mogo mogo,01712 blue,722,31.5,86.31158358,0.315249267,9,3
Las Perlas,Mogo mogo,NA,722,34.5,NA,NA,9,3
Las Perlas,Mogo mogo,01722 blue,722,36,0,0,9,3
Las Perlas,Mogo mogo,01714 blue,722,37.5,0,0,9,3
Las Perlas,Mogo mogo,01702 blue,722,39,0.383667045,0,9,3
Las Perlas,Mogo mogo,NA,723,34.5,NA,NA,9,3
Las Perlas,Mogo mogo,02211 orange,723,37.5,0,0.00499002,9,3
Las Perlas,Mogo mogo,02214 orange,723,39,0,0,9,3
Las Perlas,Mogo mogo,00163 yellow,724,28.5,49.9149276,1.063257066,72,1
Las Perlas,Mogo mogo,00156 yellow,724,30,272.8831982,2.044107966,72,1
Las Perlas,Mogo mogo,00165 yellow,724,31.5,87.31,1.35,72,1
Las Perlas,Mogo mogo,00174 yellow,724,33,145.5969417,1.985294118,72,1
