DNA_ID,loc,yr,reef
ML3811,Coiba,2021,AFU_A
ML3842,Coiba,2021,AFU_A
ML3821,Coiba,2021,AFU_A
ML3813,Coiba,2021,AFU_A
ML3836,Coiba,2021,AFU_A
ML3820,Coiba,2021,AFU_A
ML3798,Coiba,2021,AFU_A
ML3806,Coiba,2021,AFU_A
ML3841,Coiba,2021,AFU_A
ML3790,Coiba,2021,AFU_A
ML3839,Coiba,2021,AFU_A
ML3826,Coiba,2021,AFU_A
ML3809,Coiba,2021,BAD_A
ML3789,Coiba,2021,BAD_A
ML3840,Coiba,2021,BAD_A
ML3830,Coiba,2021,BAD_A
ML3829,Coiba,2021,BAD_A
ML3804,Coiba,2021,BAD_A
ML3833,Coiba,2021,BAD_A
ML3812,Coiba,2021,BAD_A
ML3800,Coiba,2021,BAD_A
ML3805,Coiba,2021,BAD_A
ML3824,Coiba,2021,BAD_A
ML3834,Coiba,2021,BAD_A
ML3736,Coiba,2020,UVA_A
ML3773,Coiba,2020,UVA_A
ML3743,Coiba,2020,UVA_A
ML3739,Coiba,2020,UVA_A
ML3747,Coiba,2020,UVA_A
ML3742,Coiba,2020,UVA_A
ML3759,Coiba,2020,UVA_A
ML3748,Coiba,2020,UVA_A
ML3819,Coiba,2020,UVA_A
ML3764,Coiba,2020,UVA_A
ML3738,Coiba,2020,BAD_A
ML3774,Coiba,2020,BAD_A
ML3744,Coiba,2020,BAD_A
ML3827,Coiba,2020,BAD_A
ML3733,Coiba,2020,BAD_A
ML3832,Coiba,2020,BAD_A
ML3782,Coiba,2020,BAD_A
ML3721,Coiba,2020,BAD_A
ML3722,Coiba,2020,BAD_A
ML3838,Coiba,2020,BAD_A
ML3737,Coiba,2020,BAD_A
ML3735,Coiba,2020,AFU_A
ML3758,Coiba,2020,AFU_A
ML3745,Coiba,2020,AFU_A
ML3746,Coiba,2020,AFU_A
ML3734,Coiba,2020,AFU_A
ML3741,Coiba,2020,AFU_A
ML3740,Coiba,2020,AFU_A
ML3828,Coiba,2020,AFU_A
ML3766,Coiba,2020,AFU_A
ML3825,Coiba,2020,AFU_A
ML3769,Coiba,2020,AFU_A
ML3750,Coiba,2021,UVA_A
ML3810,Coiba,2021,UVA_A
ML3749,Coiba,2021,UVA_A
ML3723,Coiba,2021,UVA_A
ML3724,Coiba,2021,UVA_A
ML3754,Coiba,2021,UVA_A
ML3751,Coiba,2021,UVA_A
ML3794,Coiba,2021,UVA_A
ML3753,Coiba,2021,UVA_A
ML3752,Coiba,2021,UVA_A
ML3755,Coiba,2021,UVA_A
ML3786,Coiba,2021,UVA_A
ML3808,Perla,2021,SAB_A
ML3793,Perla,2021,SAB_A
ML3802,Perla,2021,SAB_A
ML3843,Perla,2021,SAB_A
ML3844,Perla,2021,SAB_A
ML3860,Perla,2021,SAB_A
ML3814,Perla,2021,SAB_A
ML3815,Perla,2021,SAB_A
ML3816,Perla,2021,SAB_A
ML3845,Perla,2021,SAB_A
ML3846,Perla,2021,SAB_A
ML3861,Perla,2021,SAB_A
ML3788,Perla,2021,MOG_A
ML3792,Perla,2021,MOG_A
ML3795,Perla,2021,MOG_A
ML3807,Perla,2021,MOG_A
ML3801,Perla,2021,MOG_A
ML3791,Perla,2021,MOG_A
ML3796,Perla,2021,MOG_A
ML3799,Perla,2021,MOG_A
ML3863,Perla,2021,MOG_A
ML3862,Perla,2021,MOG_A
ML3803,Perla,2021,MOG_A
ML3797,Perla,2021,MOG_A
ML3859,Perla,2021,CON_A
ML3858,Perla,2021,CON_A
ML3857,Perla,2021,CON_A
ML3856,Perla,2021,CON_A
ML3855,Perla,2021,CON_A
ML3854,Perla,2021,CON_A
ML3853,Perla,2021,CON_A
ML3852,Perla,2021,CON_A
ML3851,Perla,2021,CON_A
ML3850,Perla,2021,CON_A
ML3849,Perla,2021,CON_A
ML3848,Perla,2021,CON_A
ML3785,Perla,2020,SAB_A
ML3730,Perla,2020,SAB_A
ML3837,Perla,2020,SAB_A
ML3731,Perla,2020,SAB_A
ML3768,Perla,2020,SAB_A
ML3781,Perla,2020,SAB_A
ML3772,Perla,2020,SAB_A
ML3831,Perla,2020,SAB_A
ML3765,Perla,2020,SAB_A
ML3767,Perla,2020,SAB_A
ML3732,Perla,2020,SAB_A
ML3783,Perla,2020,CON_A
ML3761,Perla,2020,CON_A
ML3775,Perla,2020,CON_A
ML3778,Perla,2020,CON_A
ML3780,Perla,2020,CON_A
ML3770,Perla,2020,CON_A
ML3777,Perla,2020,CON_A
ML3779,Perla,2020,CON_A
ML3725,Perla,2020,CON_A
ML3763,Perla,2020,CON_A
ML3823,Perla,2020,CON_A
ML3726,Perla,2020,MOG_A
ML3760,Perla,2020,MOG_A
ML3776,Perla,2020,MOG_A
ML3762,Perla,2020,MOG_A
ML3784,Perla,2020,MOG_A
ML3822,Perla,2020,MOG_A
ML3771,Perla,2020,MOG_A
ML3835,Perla,2020,MOG_A
ML3728,Perla,2020,MOG_A
ML3727,Perla,2020,MOG_A
ML3729,Perla,2020,MOG_A
