DNA_ID,loc,yr,reef,x,y
ML3811,Coiba,2021,AFU_A,-79.05462,8.62807
ML3842,Coiba,2021,AFU_A,-79.05462,8.62807
ML3821,Coiba,2021,AFU_A,-79.05462,8.62807
ML3813,Coiba,2021,AFU_A,-79.05462,8.62807
ML3836,Coiba,2021,AFU_A,-79.05462,8.62807
ML3820,Coiba,2021,AFU_A,-79.05462,8.62807
ML3798,Coiba,2021,AFU_A,-79.05462,8.62807
ML3806,Coiba,2021,AFU_A,-79.05462,8.62807
ML3841,Coiba,2021,AFU_A,-79.05462,8.62807
ML3790,Coiba,2021,AFU_A,-79.05462,8.62807
ML3839,Coiba,2021,AFU_A,-79.05462,8.62807
ML3826,Coiba,2021,AFU_A,-79.05462,8.62807
ML3735,Coiba,2020,AFU_A,-79.05462,8.62807
ML3758,Coiba,2020,AFU_A,-79.05462,8.62807
ML3745,Coiba,2020,AFU_A,-79.05462,8.62807
ML3746,Coiba,2020,AFU_A,-79.05462,8.62807
ML3734,Coiba,2020,AFU_A,-79.05462,8.62807
ML3741,Coiba,2020,AFU_A,-79.05462,8.62807
ML3740,Coiba,2020,AFU_A,-79.05462,8.62807
ML3828,Coiba,2020,AFU_A,-79.05462,8.62807
ML3766,Coiba,2020,AFU_A,-79.05462,8.62807
ML3825,Coiba,2020,AFU_A,-79.05462,8.62807
ML3769,Coiba,2020,AFU_A,-79.05462,8.62807
ML3809,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3789,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3840,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3830,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3829,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3804,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3833,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3812,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3800,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3805,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3824,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3834,Coiba,2021,BAD_A,-81.665283,7.402953962
ML3738,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3774,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3744,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3827,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3733,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3832,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3782,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3721,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3722,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3838,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3737,Coiba,2020,BAD_A,-81.665283,7.402953962
ML3859,Perla,2021,CON_A,-79.02834,8.63245
ML3858,Perla,2021,CON_A,-79.02834,8.63245
ML3857,Perla,2021,CON_A,-79.02834,8.63245
ML3856,Perla,2021,CON_A,-79.02834,8.63245
ML3855,Perla,2021,CON_A,-79.02834,8.63245
ML3854,Perla,2021,CON_A,-79.02834,8.63245
ML3853,Perla,2021,CON_A,-79.02834,8.63245
ML3852,Perla,2021,CON_A,-79.02834,8.63245
ML3851,Perla,2021,CON_A,-79.02834,8.63245
ML3850,Perla,2021,CON_A,-79.02834,8.63245
ML3849,Perla,2021,CON_A,-79.02834,8.63245
ML3848,Perla,2021,CON_A,-79.02834,8.63245
ML3783,Perla,2020,CON_A,-79.02834,8.63245
ML3761,Perla,2020,CON_A,-79.02834,8.63245
ML3775,Perla,2020,CON_A,-79.02834,8.63245
ML3778,Perla,2020,CON_A,-79.02834,8.63245
ML3780,Perla,2020,CON_A,-79.02834,8.63245
ML3770,Perla,2020,CON_A,-79.02834,8.63245
ML3777,Perla,2020,CON_A,-79.02834,8.63245
ML3779,Perla,2020,CON_A,-79.02834,8.63245
ML3725,Perla,2020,CON_A,-79.02834,8.63245
ML3763,Perla,2020,CON_A,-79.02834,8.63245
ML3823,Perla,2020,CON_A,-79.02834,8.63245
ML3788,Perla,2021,MOG_A,-79.01646,8.57442
ML3792,Perla,2021,MOG_A,-79.01646,8.57442
ML3795,Perla,2021,MOG_A,-79.01646,8.57442
ML3807,Perla,2021,MOG_A,-79.01646,8.57442
ML3801,Perla,2021,MOG_A,-79.01646,8.57442
ML3791,Perla,2021,MOG_A,-79.01646,8.57442
ML3796,Perla,2021,MOG_A,-79.01646,8.57442
ML3799,Perla,2021,MOG_A,-79.01646,8.57442
ML3863,Perla,2021,MOG_A,-79.01646,8.57442
ML3862,Perla,2021,MOG_A,-79.01646,8.57442
ML3803,Perla,2021,MOG_A,-79.01646,8.57442
ML3797,Perla,2021,MOG_A,-79.01646,8.57442
ML3726,Perla,2020,MOG_A,-79.01646,8.57442
ML3760,Perla,2020,MOG_A,-79.01646,8.57442
ML3776,Perla,2020,MOG_A,-79.01646,8.57442
ML3762,Perla,2020,MOG_A,-79.01646,8.57442
ML3784,Perla,2020,MOG_A,-79.01646,8.57442
ML3822,Perla,2020,MOG_A,-79.01646,8.57442
ML3771,Perla,2020,MOG_A,-79.01646,8.57442
ML3835,Perla,2020,MOG_A,-79.01646,8.57442
ML3728,Perla,2020,MOG_A,-79.01646,8.57442
ML3727,Perla,2020,MOG_A,-79.01646,8.57442
ML3729,Perla,2020,MOG_A,-79.01646,8.57442
ML3808,Perla,2021,SAB_A,-79.05462,8.62807
ML3793,Perla,2021,SAB_A,-79.05462,8.62807
ML3802,Perla,2021,SAB_A,-79.05462,8.62807
ML3843,Perla,2021,SAB_A,-79.05462,8.62807
ML3844,Perla,2021,SAB_A,-79.05462,8.62807
ML3860,Perla,2021,SAB_A,-79.05462,8.62807
ML3814,Perla,2021,SAB_A,-79.05462,8.62807
ML3815,Perla,2021,SAB_A,-79.05462,8.62807
ML3816,Perla,2021,SAB_A,-79.05462,8.62807
ML3845,Perla,2021,SAB_A,-79.05462,8.62807
ML3846,Perla,2021,SAB_A,-79.05462,8.62807
ML3861,Perla,2021,SAB_A,-79.05462,8.62807
ML3785,Perla,2020,SAB_A,-79.05462,8.62807
ML3730,Perla,2020,SAB_A,-79.05462,8.62807
ML3837,Perla,2020,SAB_A,-79.05462,8.62807
ML3731,Perla,2020,SAB_A,-79.05462,8.62807
ML3768,Perla,2020,SAB_A,-79.05462,8.62807
ML3781,Perla,2020,SAB_A,-79.05462,8.62807
ML3772,Perla,2020,SAB_A,-79.05462,8.62807
ML3831,Perla,2020,SAB_A,-79.05462,8.62807
ML3765,Perla,2020,SAB_A,-79.05462,8.62807
ML3767,Perla,2020,SAB_A,-79.05462,8.62807
ML3732,Perla,2020,SAB_A,-79.05462,8.62807
ML3736,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3773,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3743,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3739,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3747,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3742,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3759,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3748,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3819,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3764,Coiba,2020,UVA_A,7.815128015,-81.75892202
ML3750,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3810,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3749,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3723,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3724,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3754,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3751,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3794,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3753,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3752,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3755,Coiba,2021,UVA_A,7.815128015,-81.75892202
ML3786,Coiba,2021,UVA_A,7.815128015,-81.75892202
