DNA_ID,loc,yr,reef,mtorf,cowtag
ML3721,Coiba,2020,BAD_A,1,751
ML3722,Coiba,2020,BAD_A,1,752
ML3723,Coiba,2021,UVA_A,3,758
ML3724,Coiba,2021,UVA_A,1,759
ML3725,Perla,2020,CON_A,3,708
ML3726,Perla,2020,MOG_A,3,722
ML3727,Perla,2020,MOG_A,3,731
ML3728,Perla,2020,MOG_A,1,730
ML3729,Perla,2020,MOG_A,3,732
ML3730,Perla,2020,SAB_A,3,712
ML3731,Perla,2020,SAB_A,3,714
ML3732,Perla,2020,SAB_A,3,721
ML3733,Coiba,2020,BAD_A,1,748
ML3734,Coiba,2020,AFU_A,1,737
ML3735,Coiba,2020,AFU_A,1,733
ML3736,Coiba,2020,UVA_A,NA,755
ML3737,Coiba,2020,BAD_A,1,754
ML3738,Coiba,2020,BAD_A,1,744
ML3739,Coiba,2020,UVA_A,3,758
ML3740,Coiba,2020,AFU_A,1,739
ML3741,Coiba,2020,AFU_A,3,738
ML3742,Coiba,2020,UVA_A,1,761
ML3743,Coiba,2020,UVA_A,3,757
ML3744,Coiba,2020,BAD_A,1,746
ML3745,Coiba,2020,AFU_A,1,735
ML3746,Coiba,2020,AFU_A,1,736
ML3747,Coiba,2020,UVA_A,1,760
ML3748,Coiba,2020,UVA_A,1,763
ML3749,Coiba,2021,UVA_A,3,757
ML3750,Coiba,2021,UVA_A,NA,755
ML3751,Coiba,2021,UVA_A,1,760
ML3752,Coiba,2021,UVA_A,1,763
ML3753,Coiba,2021,UVA_A,1,762
ML3754,Coiba,2021,UVA_A,1,766
ML3755,Coiba,2021,UVA_A,1,764
ML3758,Coiba,2020,AFU_A,1,734
ML3759,Coiba,2020,UVA_A,1,762
ML3760,Perla,2020,MOG_A,3,723
ML3761,Perla,2020,CON_A,3,701
ML3762,Perla,2020,MOG_A,1,725
ML3763,Perla,2020,CON_A,3,709
ML3764,Coiba,2020,UVA_A,1,765
ML3765,Perla,2020,SAB_A,3,719
ML3766,Coiba,2020,AFU_A,3,741
ML3767,Perla,2020,SAB_A,1,720
ML3768,Perla,2020,SAB_A,3,715
ML3769,Coiba,2020,AFU_A,1,743
ML3770,Perla,2020,CON_A,3,705
ML3771,Perla,2020,MOG_A,1,728
ML3772,Perla,2020,SAB_A,3,717
ML3773,Coiba,2020,UVA_A,1,756
ML3774,Coiba,2020,BAD_A,1,745
ML3775,Perla,2020,CON_A,3,702
ML3776,Perla,2020,MOG_A,1,724
ML3777,Perla,2020,CON_A,1,706
ML3778,Perla,2020,CON_A,3,703
ML3779,Perla,2020,CON_A,3,707
ML3780,Perla,2020,CON_A,1,704
ML3781,Perla,2020,SAB_A,3,716
ML3782,Coiba,2020,BAD_A,1,750
ML3783,Perla,2020,CON_A,1,700
ML3784,Perla,2020,MOG_A,3,726
ML3785,Perla,2020,SAB_A,3,711
ML3786,Coiba,2021,UVA_A,1,765
ML3788,Perla,2021,MOG_A,3,722
ML3789,Coiba,2021,BAD_A,1,769
ML3790,Coiba,2021,AFU_A,3,741
ML3791,Perla,2021,MOG_A,3,727
ML3792,Perla,2021,MOG_A,3,723
ML3793,Perla,2021,SAB_A,3,712
ML3794,Coiba,2021,UVA_A,1,761
ML3795,Perla,2021,MOG_A,1,724
ML3796,Perla,2021,MOG_A,1,728
ML3797,Perla,2021,MOG_A,3,773
ML3798,Coiba,2021,AFU_A,3,738
ML3799,Perla,2021,MOG_A,1,729
ML3800,Coiba,2021,BAD_A,1,751
ML3801,Perla,2021,MOG_A,3,726
ML3802,Perla,2021,SAB_A,NA,713
ML3803,Perla,2021,MOG_A,3,732
ML3804,Coiba,2021,BAD_A,1,748
ML3805,Coiba,2021,BAD_A,1,752
ML3806,Coiba,2021,AFU_A,1,739
ML3807,Perla,2021,MOG_A,1,725
ML3808,Perla,2021,SAB_A,3,711
ML3809,Coiba,2021,BAD_A,1,744
ML3810,Coiba,2021,UVA_A,1,756
ML3811,Coiba,2021,AFU_A,1,733
ML3812,Coiba,2021,BAD_A,1,750
ML3813,Coiba,2021,AFU_A,1,736
ML3814,Perla,2021,SAB_A,3,717
ML3815,Perla,2021,SAB_A,3,718
ML3816,Perla,2021,SAB_A,3,719
ML3819,Coiba,2020,UVA_A,1,764
ML3820,Coiba,2021,AFU_A,1,768
ML3821,Coiba,2021,AFU_A,1,735
ML3822,Perla,2020,MOG_A,3,727
ML3823,Perla,2020,CON_A,3,710
ML3824,Coiba,2021,BAD_A,1,753
ML3825,Coiba,2020,AFU_A,1,742
ML3826,Coiba,2021,AFU_A,1,743
ML3827,Coiba,2020,BAD_A,1,747
ML3828,Coiba,2020,AFU_A,3,740
ML3829,Coiba,2021,BAD_A,1,747
ML3830,Coiba,2021,BAD_A,1,746
ML3831,Perla,2020,SAB_A,3,718
ML3832,Coiba,2020,BAD_A,1,749
ML3833,Coiba,2021,BAD_A,1,749
ML3834,Coiba,2021,BAD_A,1,754
ML3835,Perla,2020,MOG_A,1,729
ML3836,Coiba,2021,AFU_A,1,737
ML3837,Perla,2020,SAB_A,NA,713
ML3838,Coiba,2020,BAD_A,1,753
ML3839,Coiba,2021,AFU_A,1,742
ML3840,Coiba,2021,BAD_A,1,745
ML3841,Coiba,2021,AFU_A,3,740
ML3842,Coiba,2021,AFU_A,1,734
ML3843,Perla,2021,SAB_A,3,714
ML3844,Perla,2021,SAB_A,3,715
ML3845,Perla,2021,SAB_A,1,720
ML3846,Perla,2021,SAB_A,3,721
ML3848,Perla,2021,CON_A,3,710
ML3849,Perla,2021,CON_A,3,709
ML3850,Perla,2021,CON_A,3,708
ML3851,Perla,2021,CON_A,3,707
ML3852,Perla,2021,CON_A,1,706
ML3853,Perla,2021,CON_A,3,705
ML3854,Perla,2021,CON_A,3,774
ML3855,Perla,2021,CON_A,1,704
ML3856,Perla,2021,CON_A,3,703
ML3857,Perla,2021,CON_A,3,702
ML3858,Perla,2021,CON_A,3,701
ML3859,Perla,2021,CON_A,1,700
ML3860,Perla,2021,SAB_A,3,716
ML3861,Perla,2021,SAB_A,3,772
ML3862,Perla,2021,MOG_A,3,731
ML3863,Perla,2021,MOG_A,1,730
